year,month,precip_basin_avg_mm,temp_basin_avg_C
1979,1,237.3988037109375,-1.1448974609375
1979,2,119.9649658203125,-6.047607421875
1979,3,75.08251953125,6.5389404296875
1979,4,89.0162353515625,9.47998046875
1979,5,173.304931640625,16.212646484375
1979,6,83.967529296875,19.0225830078125
1979,7,139.123779296875,22.5687255859375
1979,8,133.614990234375,22.3099365234375
1979,9,176.311279296875,18.3914794921875
1979,10,107.1351318359375,11.3575439453125
1979,11,85.372314453125,8.8961181640625
1979,12,48.679931640625,2.2586669921875
1980,1,52.5999755859375,-0.998779296875
1980,2,23.1749267578125,-2.1787109375
1980,3,176.0712890625,3.306396484375
1980,4,142.2474365234375,10.9212646484375
1980,5,76.4488525390625,16.79638671875
1980,6,65.062255859375,19.47119140625
1980,7,72.7012939453125,24.2799072265625
1980,8,55.465087890625,24.2586669921875
1980,9,68.5526123046875,20.256103515625
1980,10,101.6424560546875,11.2437744140625
1980,11,77.7313232421875,4.9150390625
1980,12,15.0250244140625,-1.2999267578125
1981,1,12.7137451171875,-5.052490234375
1981,2,106.3988037109375,2.3800048828125
1981,3,34.7686767578125,3.42236328125
1981,4,98.7637939453125,11.7222900390625
1981,5,130.8726806640625,15.9151611328125
1981,6,107.6424560546875,21.072265625
1981,7,115.00244140625,23.8699951171875
1981,8,64.611328125,21.5975341796875
1981,9,90.941162109375,17.983642578125
1981,10,90.9237060546875,10.15380859375
1981,11,47.2325439453125,6.3687744140625
1981,12,115.5338134765625,0.0775146484375
1982,1,120.6900634765625,-5.5062255859375
1982,2,71.5687255859375,0.3961181640625
1982,3,55.2962646484375,4.0174560546875
1982,4,153.18359375,8.888671875
1982,5,87.541259765625,16.474853515625
1982,6,142.91748046875,18.7913818359375
1982,7,92.35009765625,23.2198486328125
1982,8,61.8837890625,20.673828125
1982,9,78.2099609375,18.0699462890625
1982,10,47.9449462890625,12.2886962890625
1982,11,87.764892578125,8.06884765625
1982,12,45.8599853515625,4.141357421875
1983,1,90.4786376953125,-0.418701171875
1983,2,66.114990234375,0.271240234375
1983,3,193.1624755859375,5.66748046875
1983,4,233.9962158203125,9.5325927734375
1983,5,140.5987548828125,14.732421875
1983,6,87.44873046875,20.6751708984375
1983,7,53.017578125,24.19384765625
1983,8,72.37744140625,23.7861328125
1983,9,81.82373046875,19.27001953125
1983,10,120.9676513671875,12.4549560546875
1983,11,151.2987060546875,7.08251953125
1983,12,205.9599609375,-0.2935791015625
1984,1,51.64990234375,-3.8875732421875
1984,2,90.90478515625,3.13232421875
1984,3,145.661376953125,1.4437255859375
1984,4,120.490234375,9.3074951171875
1984,5,224.679931640625,14.9512939453125
1984,6,82.989990234375,21.659912109375
1984,7,208.1248779296875,22.5523681640625
1984,8,44.7022705078125,22.9573974609375
1984,9,55.4573974609375,16.957275390625
1984,10,66.4287109375,14.8338623046875
1984,11,57.0723876953125,6.1875
1984,12,72.550048828125,4.132568359375
1985,1,30.0635986328125,-3.526123046875
1985,2,65.59619140625,0.51513671875
1985,3,36.0762939453125,5.9925537109375
1985,4,24.1412353515625,11.73388671875
1985,5,139.6612548828125,17.0537109375
1985,6,98.14501953125,19.0201416015625
