year,month,soilm_basin_avg,source_file
1985,4,559.5401000976562,NLDAS_NOAH0125_M.A198504.020.nc
1985,5,572.2305297851562,NLDAS_NOAH0125_M.A198505.020.nc
1985,6,562.5946655273438,NLDAS_NOAH0125_M.A198506.020.nc
1985,7,515.652587890625,NLDAS_NOAH0125_M.A198507.020.nc
1985,8,522.626708984375,NLDAS_NOAH0125_M.A198508.020.nc
1985,9,506.362060546875,NLDAS_NOAH0125_M.A198509.020.nc
1985,10,558.1002807617188,NLDAS_NOAH0125_M.A198510.020.nc
1985,11,577.9893798828125,NLDAS_NOAH0125_M.A198511.020.nc
1985,12,606.2886962890625,NLDAS_NOAH0125_M.A198512.020.nc
1986,1,583.3854370117188,NLDAS_NOAH0125_M.A198601.020.nc
1986,2,626.8380126953125,NLDAS_NOAH0125_M.A198602.020.nc
1986,3,602.2852172851562,NLDAS_NOAH0125_M.A198603.020.nc
1986,4,597.169677734375,NLDAS_NOAH0125_M.A198604.020.nc
1986,5,565.3500366210938,NLDAS_NOAH0125_M.A198605.020.nc
1986,6,506.5033874511719,NLDAS_NOAH0125_M.A198606.020.nc
1986,7,471.4036865234375,NLDAS_NOAH0125_M.A198607.020.nc
1986,8,500.2314453125,NLDAS_NOAH0125_M.A198608.020.nc
1986,9,477.3874206542969,NLDAS_NOAH0125_M.A198609.020.nc
1986,10,475.64093017578125,NLDAS_NOAH0125_M.A198610.020.nc
1986,11,550.9506225585938,NLDAS_NOAH0125_M.A198611.020.nc
1986,12,636.201904296875,NLDAS_NOAH0125_M.A198612.020.nc
1987,1,621.7609252929688,NLDAS_NOAH0125_M.A198701.020.nc
1987,2,608.9483642578125,NLDAS_NOAH0125_M.A198702.020.nc
1987,3,609.6566772460938,NLDAS_NOAH0125_M.A198703.020.nc
1987,4,624.3275146484375,NLDAS_NOAH0125_M.A198704.020.nc
1987,5,589.1123657226562,NLDAS_NOAH0125_M.A198705.020.nc
1987,6,561.0957641601562,NLDAS_NOAH0125_M.A198706.020.nc
1987,7,610.622802734375,NLDAS_NOAH0125_M.A198707.020.nc
1987,8,570.900390625,NLDAS_NOAH0125_M.A198708.020.nc
1987,9,557.6480712890625,NLDAS_NOAH0125_M.A198709.020.nc
1987,10,565.903076171875,NLDAS_NOAH0125_M.A198710.020.nc
1987,11,588.965576171875,NLDAS_NOAH0125_M.A198711.020.nc
1987,12,594.5765991210938,NLDAS_NOAH0125_M.A198712.020.nc
1988,1,585.6435546875,NLDAS_NOAH0125_M.A198801.020.nc
1988,2,638.7568969726562,NLDAS_NOAH0125_M.A198802.020.nc
1988,3,609.2142333984375,NLDAS_NOAH0125_M.A198803.020.nc
1988,4,572.2836303710938,NLDAS_NOAH0125_M.A198804.020.nc
1988,5,587.4740600585938,NLDAS_NOAH0125_M.A198805.020.nc
1988,6,548.3280029296875,NLDAS_NOAH0125_M.A198806.020.nc
1988,7,502.281494140625,NLDAS_NOAH0125_M.A198807.020.nc
1988,8,529.4371337890625,NLDAS_NOAH0125_M.A198808.020.nc
1988,9,526.1258544921875,NLDAS_NOAH0125_M.A198809.020.nc
1988,10,508.5069274902344,NLDAS_NOAH0125_M.A198810.020.nc
1988,11,572.9464111328125,NLDAS_NOAH0125_M.A198811.020.nc
1988,12,592.3133544921875,NLDAS_NOAH0125_M.A198812.020.nc
1989,1,580.634521484375,NLDAS_NOAH0125_M.A198901.020.nc
1989,2,587.567626953125,NLDAS_NOAH0125_M.A198902.020.nc
1989,3,597.5093994140625,NLDAS_NOAH0125_M.A198903.020.nc
1989,4,602.638671875,NLDAS_NOAH0125_M.A198904.020.nc
1989,5,631.7513427734375,NLDAS_NOAH0125_M.A198905.020.nc
1989,6,622.6010131835938,NLDAS_NOAH0125_M.A198906.020.nc
1989,7,607.3657836914062,NLDAS_NOAH0125_M.A198907.020.nc
1989,8,558.9059448242188,NLDAS_NOAH0125_M.A198908.020.nc
1989,9,552.843505859375,NLDAS_NOAH0125_M.A198909.020.nc
1989,10,608.23486328125,NLDAS_NOAH0125_M.A198910.020.nc
1989,11,595.8084716796875,NLDAS_NOAH0125_M.A198911.020.nc
1989,12,565.1785278320312,NLDAS_NOAH0125_M.A198912.020.nc
1990,1,585.1587524414062,NLDAS_NOAH0125_M.A199001.020.nc
1990,2,610.0487060546875,NLDAS_NOAH0125_M.A199002.020.nc
1990,3,578.5287475585938,NLDAS_NOAH0125_M.A199003.020.nc
1990,4,596.8893432617188,NLDAS_NOAH0125_M.A199004.020.nc
1990,5,610.510986328125,NLDAS_NOAH0125_M.A199005.020.nc
1990,6,605.5577392578125,NLDAS_NOAH0125_M.A199006.020.nc
1990,7,562.3270874023438,NLDAS_NOAH0125_M.A199007.020.nc
1990,8,582.2383422851562,NLDAS_NOAH0125_M.A199008.020.nc
1990,9,545.68408203125,NLDAS_NOAH0125_M.A199009.020.nc
1990,10,551.6925048828125,NLDAS_NOAH0125_M.A199010.020.nc
1990,11,574.6307373046875,NLDAS_NOAH0125_M.A199011.020.nc
1990,12,605.815673828125,NLDAS_NOAH0125_M.A199012.020.nc
1991,1,622.9938354492188,NLDAS_NOAH0125_M.A199101.020.nc
1991,2,591.3045654296875,NLDAS_NOAH0125_M.A199102.020.nc
1991,3,603.1808471679688,NLDAS_NOAH0125_M.A199103.020.nc
1991,4,593.380859375,NLDAS_NOAH0125_M.A199104.020.nc
1991,5,577.1156616210938,NLDAS_NOAH0125_M.A199105.020.nc
1991,6,525.3621826171875,NLDAS_NOAH0125_M.A199106.020.nc
1991,7,509.86236572265625,NLDAS_NOAH0125_M.A199107.020.nc
1991,8,527.8997192382812,NLDAS_NOAH0125_M.A199108.020.nc
1991,9,506.18792724609375,NLDAS_NOAH0125_M.A199109.020.nc
1991,10,533.8688354492188,NLDAS_NOAH0125_M.A199110.020.nc
1991,11,536.609619140625,NLDAS_NOAH0125_M.A199111.020.nc
1991,12,591.7155151367188,NLDAS_NOAH0125_M.A199112.020.nc
