water_year,335:CO:SNTL,342:WY:SNTL,353:WY:SNTL,368:UT:SNTL,371:UT:SNTL,378:CO:SNTL,386:CO:SNTL,415:CO:SNTL,432:UT:SNTL,435:UT:SNTL,444:UT:SNTL,449:WY:SNTL,457:CO:SNTL,467:CO:SNTL,468:WY:SNTL,481:UT:SNTL,485:CO:SNTL,505:CO:SNTL,531:CO:SNTL,538:CO:SNTL,542:CO:SNTL,543:UT:SNTL,544:WY:SNTL,554:WY:SNTL,556:CO:SNTL,559:UT:SNTL,565:CO:SNTL,566:UT:SNTL,586:CO:SNTL,589:CO:SNTL,597:WY:SNTL,607:CO:SNTL,618:CO:SNTL,629:CO:SNTL,643:UT:SNTL,680:CO:SNTL,682:CO:SNTL,688:CO:SNTL,701:CO:SNTL,713:CO:SNTL,714:UT:SNTL,720:UT:SNTL,762:CO:SNTL,765:WY:SNTL,779:WY:SNTL,790:UT:SNTL,795:UT:SNTL,802:CO:SNTL,825:CO:SNTL,833:UT:SNTL,840:CO:SNTL,842:CO:SNTL,864:UT:SNTL,869:CO:SNTL
1991,459.74,325.12,505.4599999999999,368.29999999999995,314.96,482.59999999999997,396.23999999999995,259.08,170.18,314.96,259.08,386.08,563.88,457.2,274.32,383.53999999999996,358.14,294.64,284.47999999999996,337.82,411.47999999999996,215.89999999999998,523.24,314.96,279.4,231.14,464.82,322.58,464.82,508.0,358.14,297.17999999999995,403.86,360.67999999999995,297.17999999999995,269.23999999999995,680.72,241.29999999999998,307.34,563.88,424.17999999999995,208.27999999999997,347.97999999999996,261.62,505.4599999999999,312.42,403.86,284.47999999999996,1056.6399999999999,256.53999999999996,828.04,513.0799999999999,254.0,327.65999999999997
1992,535.94,203.2,337.82,294.64,388.62,508.0,254.0,330.2,114.3,157.48,287.02,452.12,398.78,337.82,251.46,269.23999999999995,370.84,299.72,368.29999999999995,421.64,355.59999999999997,231.14,490.21999999999997,279.4,271.78,205.73999999999998,563.88,200.66,431.79999999999995,472.44,210.82,271.78,406.4,375.92,215.89999999999998,213.35999999999999,617.22,251.46,381.0,657.8599999999999,248.92000000000002,99.05999999999999,281.94,208.27999999999997,401.32,335.28,175.26,236.22,1005.84,195.57999999999998,845.8199999999999,530.8599999999999,236.22,241.29999999999998
1993,576.5799999999999,340.36,574.04,523.24,647.6999999999999,551.18,551.18,416.55999999999995,363.21999999999997,441.9599999999999,601.9799999999999,533.4,586.74,502.92,335.28,556.2599999999999,495.29999999999995,513.0799999999999,381.0,398.78,500.37999999999994,411.47999999999996,693.42,449.58,419.09999999999997,355.59999999999997,741.68,480.05999999999995,622.3,650.24,414.02,347.97999999999996,695.9599999999999,556.2599999999999,492.75999999999993,416.55999999999995,1066.8,302.26,515.62,820.4199999999998,533.4,332.73999999999995,314.96,365.76,688.34,406.4,541.02,360.67999999999995,1369.06,322.58,1173.48,756.92,513.0799999999999,441.9599999999999
1994,431.79999999999995,332.73999999999995,480.05999999999995,337.82,302.26,342.9,223.52,347.97999999999996,170.18,261.62,177.79999999999998,510.54,386.08,363.21999999999997,256.53999999999996,325.12,360.67999999999995,408.94,342.9,304.79999999999995,401.32,182.88,497.84000000000003,284.47999999999996,330.2,231.14,624.84,266.7,292.09999999999997,386.08,284.47999999999996,248.92000000000002,332.73999999999995,284.47999999999996,226.06,185.42,548.64,226.06,320.03999999999996,490.21999999999997,314.96,129.54,254.0,238.76,429.25999999999993,287.02,256.53999999999996,248.92000000000002,960.1199999999999,238.76,657.8599999999999,441.9599999999999,215.89999999999998,261.62
1995,375.92,431.79999999999995,609.5999999999999,576.5799999999999,525.78,426.71999999999997,335.28,370.84,276.86,383.53999999999996,469.9,525.78,464.82,444.5,350.52,558.8,419.09999999999997,419.09999999999997,406.4,431.79999999999995,474.97999999999996,358.14,718.8199999999999,403.86,363.21999999999997,350.52,541.02,492.75999999999993,505.4599999999999,614.68,345.44,307.34,629.92,535.94,553.72,381.0,858.5199999999999,157.48,447.04,726.4399999999999,441.9599999999999,175.26,393.7,294.64,660.4,414.02,429.25999999999993,299.72,1158.24,365.76,1122.68,485.14,335.28,289.56
1996,642.62,398.78,896.6199999999999,513.0799999999999,645.16,589.28,276.86,530.8599999999999,322.58,607.06,419.09999999999997,464.82,751.84,584.1999999999999,381.0,515.62,566.42,703.5799999999999,520.6999999999999,393.7,533.4,304.79999999999995,858.5199999999999,515.62,434.34000000000003,215.89999999999998,883.9199999999998,386.08,381.0,350.52,607.06,429.25999999999993,363.21999999999997,383.53999999999996,208.27999999999997,345.44,599.44,378.46,548.64,650.24,480.05999999999995,274.32,358.14,609.5999999999999,891.54,500.37999999999994,568.9599999999999,444.5,1374.1399999999999,198.11999999999998,474.97999999999996,749.3,452.12,345.44
1997,500.37999999999994,485.14,1054.1,586.74,703.5799999999999,635.0,256.53999999999996,431.79999999999995,345.44,607.06,454.6599999999999,650.24,635.0,665.4799999999999,462.28,635.0,472.44,520.6999999999999,535.94,530.8599999999999,510.54,375.92,1003.3,612.14,360.67999999999995,340.36,734.06,411.47999999999996,541.02,703.5799999999999,695.9599999999999,312.42,568.9599999999999,492.75999999999993,459.74,375.92,853.4399999999999,259.08,492.75999999999993,711.1999999999999,424.17999999999995,365.76,457.2,596.9,934.7199999999999,411.47999999999996,693.42,342.9,1361.44,259.08,1059.18,713.74,515.62,454.6599999999999
1998,467.35999999999996,309.87999999999994,617.22,482.59999999999997,497.84000000000003,541.02,246.37999999999997,347.97999999999996,200.66,414.02,373.37999999999994,500.37999999999994,480.05999999999995,416.55999999999995,322.58,482.59999999999997,350.52,416.55999999999995,358.14,340.36,378.46,320.03999999999996,627.38,403.86,284.47999999999996,304.79999999999995,523.24,449.58,340.36,454.6599999999999,421.64,274.32,538.4799999999999,345.44,299.72,226.06,769.62,200.66,368.29999999999995,535.94,363.21999999999997,228.6,358.14,312.42,553.72,419.09999999999997,472.44,241.29999999999998,1117.6,309.87999999999994,698.5,411.47999999999996,309.87999999999994,177.79999999999998
1999,355.59999999999997,414.02,736.5999999999999,434.34000000000003,378.46,314.96,0.0,325.12,106.67999999999999,254.0,210.82,457.2,370.84,381.0,355.59999999999997,447.04,375.92,403.86,340.36,231.14,342.9,147.32,746.7599999999999,434.34000000000003,241.29999999999998,142.23999999999998,599.44,309.87999999999994,182.88,147.32,472.44,205.73999999999998,231.14,238.76,248.92000000000002,231.14,525.78,144.78,289.56,464.82,238.76,170.18,335.28,416.55999999999995,751.84,363.21999999999997,292.09999999999997,251.46,1079.5,160.01999999999998,698.5,294.64,162.56,289.56
2000,441.9599999999999,289.56,632.4599999999999,370.84,449.58,408.94,309.87999999999994,393.7,162.56,452.12,284.47999999999996,421.64,594.3599999999999,485.14,309.87999999999994,431.79999999999995,383.53999999999996,414.02,383.53999999999996,358.14,360.67999999999995,307.34,574.04,363.21999999999997,340.36,281.94,627.38,304.79999999999995,411.47999999999996,363.21999999999997,449.58,264.15999999999997,408.94,378.46,304.79999999999995,228.6,553.72,297.17999999999995,434.34000000000003,561.34,408.94,220.97999999999996,337.82,312.42,571.5,332.73999999999995,436.87999999999994,289.56,1165.86,307.34,452.12,477.52,287.02,373.37999999999994
2001,469.9,248.92000000000002,393.7,457.2,332.73999999999995,312.42,241.29999999999998,325.12,104.13999999999999,162.56,223.52,378.46,403.86,431.79999999999995,279.4,408.94,388.62,391.15999999999997,381.0,243.83999999999997,363.21999999999997,279.4,439.42,266.7,269.23999999999995,198.11999999999998,548.64,312.42,322.58,368.29999999999995,287.02,276.86,353.06,340.36,327.65999999999997,149.86,459.74,238.76,368.29999999999995,505.4599999999999,223.52,132.07999999999998,396.23999999999995,223.52,429.25999999999993,289.56,215.89999999999998,236.22,914.4,213.35999999999999,828.04,408.94,231.14,297.17999999999995
