,GW_storage[cm],SM_storage[cm],SFC_storage[cm],SWE_storage[cm],total_storage[cm],total_storage[cm]_noGW,anomaly[cm],SM_anomaly[cm],GW_anomaly[cm],SWE_anomaly[cm],SFC_anomaly[cm],anomaly[cm]_noGW
1979-10-31,2167.8081605925304,56.37970544835543,0.5167315261635028,0.04223024767671453,2224.746827814726,56.938667222195654,-5.678808049552784,0.8991006421676647,-4.526954267582859,-1.8032769793807009,-0.24767744475726347,-1.1518537819702979
1979-11-30,2167.850010937443,57.185093545928034,0.6132334494741254,0.7066007767425836,2226.3549387095873,58.50492777214475,-4.070697154691223,1.704488739740268,-4.485103922670405,-1.1389064503148318,-0.15117552144664095,0.41440676797879716
1979-12-31,2167.8936511401644,57.300076701447225,0.6111063870925951,2.0231846380671463,2227.8280188667713,59.93436772660697,-2.5976169975074765,1.819471895259459,-4.441463719948877,0.1776774110097307,-0.15330258382817122,1.8438467224410204
1980-01-31,2167.9237502184756,58.12868021855779,0.6805830782157509,5.010725886940964,2231.74373940219,63.819989183714505,1.3181035379113286,2.648075412370019,-4.411364641637611,3.1652186598835486,-0.08382589270501534,5.729468179548554
1980-02-29,2167.9808178068315,59.541865105034006,0.8601584677344664,8.936279877574687,2237.3191212571746,69.33830345034316,6.893485392895776,4.061260298846239,-4.35429705328183,7.090772650517273,0.09574949681369999,11.247782446177213
1980-03-31,2168.0982625759298,61.297460084311695,1.127763107565145,10.941477132065076,2241.464962899872,73.36670032394191,11.039327035592995,5.816855278123927,-4.236852284183358,9.09596990500766,0.3633541366443788,15.276179319775968
1980-04-30,2168.2221414598444,62.475245282387775,1.6168362235458145,9.970167916810784,2242.2843908825885,74.06224942274437,11.85875501830974,6.994640476199999,-4.1129734002690626,8.12466068975337,0.8524272526250481,15.971728418578419
1980-05-31,2168.404559421101,64.96695639719898,3.888949871786618,5.36390804714976,2242.6243737372365,74.21981431613537,12.198737872957638,9.486351591011218,-3.9305554390121626,3.518400820092344,3.1245409008658513,16.129293311969416
1980-06-30,2168.615820779222,63.209672797804444,3.1022851233429063,1.8297597285627398,2236.757538428932,68.14171764971009,6.331902564653193,7.729067991616672,-3.7192940808913155,-0.015747498494675712,2.33787615242214,10.051196645544138
1980-07-31,2168.710778404665,59.73487025743387,1.6421272776175992,0.09211489225135339,2230.179890831968,61.469112427302825,-0.24574503231112507,4.254265451246099,-3.624336455448387,-1.7533923348060623,0.8777183066968328,3.3785914231368723
1980-08-31,2168.7286062884805,56.68778487778233,0.5109822227646797,0.0010667607313793361,2225.928440149759,57.19983386127838,-4.49719571451982,1.2071800715945513,-3.606508571632636,-1.844440466326036,-0.25342674815608657,-0.8906871428875694
1980-09-30,2168.72917667705,56.430953550647985,0.26483076947576023,0.0004215122305137746,2225.425382509404,56.69620583235426,-5.000253354874644,0.9503487444602147,-3.6059381830633392,-1.8450857148269018,-0.49957820144500614,-1.394315171811691
1980-10-31,2168.7346707623365,56.21492762243116,0.2100441433620924,0.09869103211657232,2225.2583335602462,56.52366279790983,-5.167302304032789,0.7343228162433929,-3.600444097777048,-1.7468161949408432,-0.554364827558674,-1.5668582062561218
1980-11-30,2168.7438858884325,56.86032306625107,0.2784526649325292,0.29794548367743645,2226.1806071032934,57.43672121486103,-4.245028760985226,1.3797182600632976,-3.591228971680695,-1.5475617433799789,-0.48595630598823714,-0.6537997893049167
1980-12-31,2168.7485446029373,57.189566581330546,0.40056634961019033,0.8031658470657826,2227.1418433809436,58.39329877800652,-3.2837924833352576,1.7089617751427697,-3.586570257176202,-1.0423413799916328,-0.36384262131057593,0.30277777384056287
1981-01-31,2168.7411562631733,57.00449355485313,0.4893319564673691,0.7750897745800553,2227.010071549074,58.268915285900555,-3.41556431520499,1.5238887486653598,-3.593958596939977,-1.0704174524773602,-0.2750770144533973,0.17839428173460467
1981-02-28,2168.720667173832,57.005184174702,0.5224428321966448,1.2538181832653763,2227.5021123639963,58.78144519016403,-2.92352350028255,1.5245793685142324,-3.6144476862810095,-0.5916890437920392,-0.24196613872412157,0.6909241859980737
1981-03-31,2168.69174236194,57.94032268294488,0.6425880226490438,1.7936351311932268,2229.0682881987273,60.37654583678715,-1.3573476655514398,2.4597178767571077,-3.64337249817302,-0.05187209586418855,-0.12182094827172246,2.2860248326211985
1981-04-30,2168.6684856591273,58.974651138046475,0.9053341514978095,1.7068192079433753,2230.255290156615,61.586804497487655,-0.17034570766360274,3.494046331858705,-3.666629200985691,-0.13868801911404016,0.14092518057704317,3.49628349332171
1981-05-31,2168.677456177946,59.76146935957302,1.544778348937139,0.384165462430147,2230.3678693488864,61.6904131709403,-0.05776651539238528,4.280864553385248,-3.657658682167123,-1.4613417646272686,0.7803693780163725,3.599892166774354
1981-06-30,2168.7034683489524,58.58368383975223,1.337069419163767,0.032155703311844176,2228.65637731118,59.952908962227845,-1.7692585530986662,3.103079033564466,-3.631646511160948,-1.8133515237455713,0.5726604482430009,1.8623879580618978
1981-07-31,2168.7073753893374,56.801919647756264,0.5597751613721147,4.521401231862717e-06,2226.069074719867,57.3616993305296,-4.3565611444118115,1.3213148415684928,-3.6277394707758557,-1.8455027056561837,-0.20463380954865157,-0.7288216736363404
1981-08-31,2168.7039612866556,55.06831792013939,0.28015883723862833,8.113392081593746e-07,2224.052438855373,55.34847756871722,-6.373197008905822,-0.41228688604838254,-3.6311535734574862,-1.8455064157182075,-0.484250133682138,-2.7420434354487258
1981-09-30,2168.6943503820034,54.76251617528117,0.20250010769242566,6.276034390149848e-05,2223.659429425321,54.9650790433175,-6.766206438957709,-0.7180886309065938,-3.640764478109648,-1.8454444667135141,-0.5619088632283407,-3.1254419608484465
